m,n,"gcd(m-1,n-1)",genus
4,3,1,1
5,3,2,1
5,4,1,3
6,3,1,2
6,4,1,4
6,5,1,6
7,3,2,2
7,4,3,4
7,5,2,7
7,6,1,10
8,3,1,3
8,4,1,6
8,5,1,9
8,6,1,12
8,7,1,15
9,3,2,3
9,4,1,7
9,5,4,9
9,6,1,14
9,7,2,17
9,8,1,21
10,3,1,4
10,4,3,7
10,5,1,12
10,6,1,16
10,7,3,19
10,8,1,24
10,9,1,28
11,3,2,4
11,4,1,9
11,5,2,13
11,6,5,16
11,7,2,22
11,8,1,27
11,9,2,31
11,10,1,36
12,3,1,5
12,4,1,10
12,5,1,15
12,6,1,20
12,7,1,25
12,8,1,30
12,9,1,35
12,10,1,40
12,11,1,45
13,3,2,5
13,4,3,10
13,5,4,15
13,6,1,22
13,7,6,25
13,8,1,33
13,9,4,37
13,10,3,43
13,11,2,49
13,12,1,55
14,3,1,6
14,4,1,12
14,5,1,18
14,6,1,24
14,7,1,30
14,8,1,36
14,9,1,42
14,10,1,48
14,11,1,54
14,12,1,60
14,13,1,66
15,4,1,13
15,7,2,32
15,8,7,36
15,11,2,58
15,13,2,71
15,14,1,78
16,3,1,7
16,5,1,21
16,7,3,34
16,9,1,49
16,11,5,61
16,13,3,76
16,15,1,91
20,3,1,9
20,7,1,45
20,9,1,63
20,11,1,81
20,13,1,99
20,17,1,135
20,19,1,153
